Category,Topic
STEM,Earth
STEM,Life
STEM,Death
Geography,Canada
Geography,Japan
Geography,England
Geography,Finland
Geography,Sweden
Geography,Denmark
Geography,Poland
Geography,Austria
Geography,Greece
Culture,Beer
Geography,Portugal
Geography,Asia
Geography,Netherlands
Geography,New York City
Geography,"Washington, D.C."
Geography,Berlin
STEM,Boeing
Geography,Zürich
Culture,Internet
Geography,Egypt
STEM,Printer (computing)
Geography,London
Geography,Cairo
Geography,Alexandria
STEM,Apple
Geography,Paris
STEM,Android (operating system)
Culture,Google
Geography,Boston
STEM,Space
Culture,March
STEM,Mars
Geography,Kenya
History and Society,Monarch
Geography,Ghana
Culture,May
Culture,August
STEM,October
Culture,December
Culture,Wednesday
Culture,Friday
STEM,Lion
STEM,Dog
Geography,United Kingdom
STEM,Cat
Culture,French language
STEM,Wiktionary
STEM,Fish
Geography,François Hollande
History and Society,Russia
STEM,Cetacea
STEM,Sea
Geography,Black Sea
STEM,Pi
Geography,Toronto
Geography,Alabama
Geography,Quebec
STEM,Jimmy Wales
Geography,Germany
STEM,Larry Sanger
Culture,God
Geography,Estonia
Culture,Chocolate
STEM,2
STEM,0
History and Society,George W. Bush
Geography,Latvia
Geography,Ukraine
Geography,Czech Republic
Geography,Slovenia
Geography,Romania
Geography,Bulgaria
Geography,Rome
Geography,North Macedonia
Geography,Greenland
History and Society,Azerbaijan
Geography,Andorra
Geography,Malta
Geography,Vatican City
Geography,San Marino
Geography,Brussels
Geography,Barbados
STEM,Volkswagen
Culture,Wolfgang Amadeus Mozart
Geography,Turkish language
Culture,Linkin Park
Geography,Algeria
STEM,Wikisource
Geography,Uzbekistan
Geography,Poznań
Geography,Tashkent
STEM,Wood
STEM,Sex
History and Society,Russian language
Culture,Icelandic language
Culture,Claude Monet
Culture,Jesus
STEM,Mercury (planet)
Culture,Apple Inc.
History and Society,Dictatorship
STEM,Jupiter
Geography,Michelle Bachelet
STEM,Uranus
Geography,Brittany
STEM,English Wikipedia
Geography,Nicolas Sarkozy
STEM,Neptune
Geography,Singapore
STEM,Pluto
Geography,Liechtenstein
STEM,Adolf Hitler
Culture,Google+
